learner_id,signup_date,age,city_tier,education,hours_per_week_pledged,weekly_logins_avg,assignments_submitted,forum_posts,video_watch_pct,has_mentor,device,referral_source,payment_plan,days_since_last_login,certificate_issued,final_score,notes,completed_course,days_since_last_login_invalid
L-01146,2026-01-22,24.0,3,Other,8.3,4.2,3,6,89.0,1.0,Mobile,instagram,scholarship,1.0,Y,78.6,,1.0,0
L-00695,2026-06-02,15.0,1,Bachelors,1.0,2.54,0,4,31.2,0.0,Desktop,instagram,paid,12.0,no,,,0.0,1
L-00530,2026-05-20,24.0,2,Diploma,10.3,0.5,0,3,10.7,-1.0,Laptop,instagram,scholarship,12.0,No,,follow up next intake,0.0,1
L-02228,2026-01-19,23.0,1,Bachelors,1.6,3.01,0,0,40.2,0.0,Mobile,school_partner,free,12.0,FALSE,,duplicate?  check,0.0,1
L-00914,2026-02-16,21.0,2,High School,9.8,4.36,3,1,36.7,0.0,Desktop,instagram,paid,19.0,TRUE,67.1,follow up next intake,1.0,0
L-00860,2026-06-03,22.0,1,Bachelors,8.4,1.52,2,1,53.1,1.0,Mobile,youtube,free,17.0,0,,called on phone,0.0,0
L-02674,2026-04-09,22.0,2,Masters,3.4,4.7,0,4,31.9,0.0,Laptop,instagram,free,20.0,No,,,0.0,0
L-02644,2026-04-11,21.0,3,Diploma,6.5,2.27,0,5,45.5,0.0,Tablet,instagram,free,12.0,no,,-,0.0,1
L-02550,2026-04-14,25.0,2,Diploma,1.8,4.17,8,4,60.9,0.0,Mobile,school_partner,free,12.0,TRUE,77.2,-,1.0,1
L-01648,2026-01-09,22.0,2,High School,8.8,3.3,6,1,39.2,1.0,Laptop,instagram,paid,12.0,yes,75.2,called on phone,1.0,1
L-00847,2026-01-22,26.0,3,High School,4.5,2.66,4,5,48.9,1.0,Mobile,school_partner,scholarship,12.0,N,,requested extension,0.0,1
L-00538,2026-02-11,19.0,2,High School,2.0,3.42,4,1,44.2,0.0,Laptop,friend,paid,16.0,N,,,0.0,0
L-01515,2026-03-13,30.0,1,Masters,3.7,1.33,3,2,29.1,0.0,Mobile,school_partner,free,12.0,N,,,0.0,1
L-00021,2026-04-16,21.0,1,Bachelors,4.9,1.77,3,4,33.0,1.0,Mobile,instagram,free,12.0,FALSE,,asked about certificate,0.0,1
L-00945,2026-04-14,22.0,2,High School,9.0,4.4,9,8,71.4,1.0,Laptop,youtube,paid,21.0,TRUE,86.0,,1.0,0
L-02774,2026-01-03,21.0,3,High School,7.2,3.13,0,4,100.0,0.0,Laptop,friend,paid,3.0,0,28.1,asked about certificate,0.0,0
L-02782,2026-02-04,21.0,3,Bachelors,12.2,4.04,1,2,56.4,1.0,Laptop,instagram,paid,14.0,FALSE,,requested extension,0.0,0
L-01677,2026-04-19,15.0,1,Diploma,7.3,4.4,2,1,25.1,0.0,Mobile,instagram,scholarship,12.0,N,39.3,called on phone,0.0,1
L-00871,2026-04-12,15.0,3,Bachelors,4.4,0.0,5,5,22.3,1.0,Laptop,school_partner,free,12.0,0,,,0.0,1
L-00460,2026-01-06,25.0,3,Bachelors,5.3,1.64,4,4,26.6,0.0,Laptop,school_partner,scholarship,12.0,0,48.4,,0.0,1
L-02584,2026-04-20,23.0,3,Masters,4.1,2.92,4,0,31.8,1.0,Desktop,school_partner,free,12.0,1,78.3,requested extension,1.0,1
L-02445,2026-04-19,17.0,1,High School,12.0,3.36,3,3,88.5,0.0,Laptop,youtube,free,8.0,No,,duplicate?  check,0.0,0
L-00811,2026-01-21,28.0,1,High School,10.0,4.36,4,3,100.0,0.0,Mobile,school_partner,paid,20.0,FALSE,39.5,requested extension,0.0,0
L-00863,2026-04-02,22.0,2,Bachelors,9.7,4.32,2,6,37.8,1.0,Mobile,friend,scholarship,2.0,FALSE,,called on phone,0.0,0
L-02234,2026-03-25,22.0,3,High School,4.6,1.56,4,4,23.5,0.0,Desktop,instagram,scholarship,11.0,0,,,0.0,0
L-02290,2026-04-19,19.0,1,Masters,7.1,2.81,5,5,57.7,0.0,Desktop,school_partner,scholarship,8.0,TRUE,84.3,duplicate?  check,1.0,0
L-02649,2026-05-09,21.0,1,High School,8.2,3.94,10,4,57.7,0.0,Laptop,friend,free,16.0,0,,asked about certificate,0.0,0
L-01949,2026-05-15,18.0,2,Bachelors,10.2,3.13,3,4,26.5,0.0,Laptop,school_partner,scholarship,12.0,FALSE,,,0.0,1
L-00648,2026-04-01,26.0,1,Diploma,4.4,2.24,4,0,31.2,0.0,Mobile,friend,free,5.0,no,,,0.0,0
L-01912,2026-02-01,21.0,3,High School,4.3,1.68,0,6,23.5,1.0,Mobile,other,free,12.0,FALSE,,asked about certificate,0.0,1
L-02703,2026-02-12,21.0,1,Other,6.7,4.42,2,5,19.6,1.0,Mobile,instagram,paid,12.0,N,51.5,asked about certificate,0.0,1
L-02004,2026-01-03,21.0,1,Bachelors,5.8,2.82,0,6,59.3,0.0,Desktop,school_partner,scholarship,19.0,N,,requested extension,0.0,0
L-00584,2026-04-24,23.0,2,Bachelors,3.1,6.44,5,4,45.5,0.0,Mobile,ngo_outreach,scholarship,18.0,1,68.3,,1.0,0
L-01587,2026-05-17,19.0,2,Bachelors,4.5,1.34,0,0,51.8,0.0,Desktop,youtube,scholarship,12.0,No,,,0.0,1
L-01809,2026-06-20,17.0,3,High School,5.4,5.4,7,4,75.9,0.0,Laptop,friend,paid,12.0,Y,84.3,asked about certificate,1.0,1
L-00387,2026-02-16,21.0,2,High School,6.2,3.5,1,4,14.7,0.0,Laptop,ngo_outreach,free,12.0,FALSE,,requested extension,0.0,1
L-02171,2026-03-09,21.0,2,Bachelors,5.5,3.59,10,1,48.2,0.0,Laptop,other,scholarship,19.0,No,,,0.0,0
L-01194,2026-04-19,23.0,1,Bachelors,6.1,2.69,1,1,100.0,0.0,Mobile,other,free,12.0,N,,requested extension,0.0,0
L-02376,2026-06-20,20.0,1,Diploma,6.1,0.62,0,2,26.9,1.0,Mobile,school_partner,free,12.0,FALSE,,follow up next intake,0.0,1
L-00590,2026-06-19,15.0,2,High School,3.8,4.41,2,6,55.0,0.0,Laptop,instagram,scholarship,12.0,Yes,75.6,,1.0,1
L-02046,2026-05-22,23.0,2,Other,2.2,3.61,1,3,37.4,0.0,Mobile,youtube,free,12.0,FALSE,,,0.0,1
L-00064,2026-01-19,22.0,2,Bachelors,8.4,1.69,8,0,17.7,1.0,Tablet,instagram,free,5.0,Y,99.7,duplicate?  check,1.0,0
L-00779,2026-05-26,26.0,1,Bachelors,8.6,1.99,0,3,42.7,0.0,Desktop,school_partner,scholarship,18.0,0,,follow up next intake,0.0,0
L-02622,2026-02-18,20.0,1,Diploma,10.9,3.13,6,2,33.5,1.0,Mobile,youtube,free,10.0,1,82.4,called on phone,1.0,0
L-00117,2026-04-20,15.0,1,Bachelors,12.0,6.18,7,5,67.4,0.0,Desktop,instagram,free,9.0,Yes,62.5,called on phone,1.0,0
L-00066,2026-05-17,20.0,2,Bachelors,7.8,5.15,6,4,45.5,1.0,Tablet,instagram,scholarship,13.0,TRUE,81.3,,1.0,0
L-00971,2026-06-16,17.0,2,High School,10.9,3.61,4,2,22.3,0.0,Mobile,instagram,free,21.0,Y,,,0.0,0
L-02502,2026-04-02,22.0,2,High School,1.0,5.29,5,3,25.0,0.0,Mobile,school_partner,scholarship,16.0,0,,follow up next intake,0.0,0
L-01420,2026-01-26,23.0,1,Diploma,7.1,1.12,1,1,40.3,0.0,Mobile,other,free,12.0,No,,,0.0,1
L-01514,2026-02-07,21.0,1,High School,15.0,3.76,5,5,45.5,0.0,Desktop,youtube,free,1.0,No,48.1,requested extension,0.0,0
L-02030,2026-06-28,23.0,2,Bachelors,10.3,4.86,6,1,72.4,0.0,Mobile,instagram,paid,4.0,yes,72.6,asked about certificate,1.0,0
L-00319,2026-05-04,25.0,1,Unknown,3.4,0.0,5,2,23.9,0.0,Desktop,school_partner,paid,12.0,1,66.2,requested extension,1.0,1
L-00228,2026-01-19,24.0,3,Bachelors,10.6,2.62,6,6,63.9,0.0,Tablet,instagram,free,5.0,yes,84.2,,1.0,0
L-00458,2026-02-13,15.0,2,High School,4.1,4.97,5,5,34.6,1.0,Laptop,instagram,paid,9.0,yes,62.6,,1.0,0
L-02354,2026-03-18,18.0,2,High School,8.5,3.25,7,4,92.0,0.0,Laptop,friend,free,4.0,TRUE,74.3,,1.0,0
L-00511,2026-03-25,21.0,1,Diploma,7.9,3.13,6,7,59.1,0.0,Mobile,ngo_outreach,scholarship,6.0,FALSE,,,0.0,0
L-01196,2026-05-02,21.0,3,High School,8.6,5.39,2,4,59.6,0.0,Mobile,school_partner,paid,4.0,yes,80.6,,1.0,0
L-01523,2026-02-15,22.0,3,High School,8.1,2.6,10,3,66.0,1.0,Desktop,instagram,free,11.0,1,67.0,called on phone,1.0,0
